,股票名稱,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1618,合機,35.0,47.1,13.0,9.6,15.0,13.1,31.75,24.95,23.45,12.85,12.4,10.6,9.99,9.16,10.65,11.55,10.05,14.75,25.9
1626,艾美特-KY,,,,,,,,,,,,84.5,38.8,31.6,34.35,26.3,35.7,30.15,23.3
1701,中化,11.3,16.2,15.4,13.5,32.25,24.3,26.8,33.75,29.4,24.7,25.75,23.9,21.9,20.55,20.7,24.2,20.4,28.6,29.4
1702,南僑,7.45,11.4,7.5,7.77,15.5,14.3,32.2,48.5,46.1,36.45,52.6,72.1,77.4,72.5,67.5,65.7,57.1,55.7,25.85
1707,葡萄王,10.15,13.0,9.75,12.35,39.3,27.5,56.0,53.5,56.5,83.3,158.0,151.5,255.0,282.0,216.0,275.0,222.0,234.0,60.1
1708,東鹼,7.6,10.5,9.76,16.6,27.3,78.2,41.7,41.95,42.3,37.5,34.35,44.8,48.3,32.8,32.9,32.4,28.05,27.3,184.0
1709,和益,19.1,19.3,12.5,14.0,18.45,21.7,15.0,19.8,24.8,23.0,16.7,15.75,16.2,18.15,21.0,19.25,15.6,17.45,43.85
1710,東聯,45.8,47.5,35.9,23.3,54.5,46.5,26.6,39.3,55.5,44.8,36.4,32.2,29.9,24.9,33.1,36.3,26.8,21.5,31.6
1711,永光,13.5,15.2,12.85,19.3,46.7,22.9,37.1,42.2,36.4,23.4,27.95,37.8,31.2,22.3,22.4,20.1,18.25,19.05,27.85
1712,興農,8.8,12.75,8.55,11.55,15.0,22.7,18.1,16.15,15.1,15.0,18.1,19.15,17.95,15.6,18.6,17.8,21.75,22.8,32.45
1713,國化,10.7,15.5,12.9,14.3,20.5,18.35,12.45,15.4,15.9,14.25,20.5,19.8,18.55,16.1,17.7,21.3,19.45,23.2,28.95
1714,和桐,18.5,16.3,10.25,9.1,15.65,16.3,19.0,19.7,22.6,20.1,15.45,15.85,11.45,9.03,11.0,10.9,7.72,11.75,26.95
1717,長興,26.9,24.6,26.3,59.9,61.0,39.0,34.5,38.25,35.95,26.85,29.25,37.4,35.9,35.8,34.95,31.85,27.15,40.3,23.3
1718,中纖,21.0,25.6,18.3,9.64,17.2,13.2,7.32,16.55,18.15,13.8,14.05,13.05,12.55,9.27,10.9,12.6,10.3,12.0,47.1
1720,生達,22.9,21.8,26.6,22.2,52.6,33.5,32.0,38.5,33.8,28.75,53.8,47.8,43.2,38.3,39.7,38.3,37.2,51.6,19.1
1721,三晃,7.6,9.95,7.45,9.35,27.8,17.5,14.65,20.5,12.9,9.79,10.2,13.5,14.2,17.75,16.9,14.5,10.3,12.35,41.35
1722,台肥,23.7,37.6,45.4,69.0,86.0,161.5,122.5,126.5,117.5,84.7,78.4,67.8,58.2,48.9,43.9,48.6,51.7,59.8,30.45
1723,中碳,45.6,53.0,53.1,53.2,95.2,96.5,92.8,128.5,188.0,144.0,184.0,203.0,157.0,124.5,133.5,167.0,139.5,125.5,73.2
1725,元禎,26.0,26.2,21.0,19.7,35.2,32.75,21.45,34.4,24.9,18.3,15.95,17.0,16.65,15.3,15.7,20.25,15.8,17.7,130.5
1726,永記,45.5,45.4,45.8,65.1,70.0,57.3,45.5,50.5,54.0,66.0,85.0,91.6,91.0,80.5,85.4,83.5,76.6,72.5,44.4
1727,中華化,11.2,13.9,12.55,10.8,26.8,36.25,24.5,33.4,31.7,23.8,20.0,22.1,21.45,15.1,17.15,17.0,14.45,12.1,77.5
1730,花仙子,14.35,13.9,15.0,13.2,20.25,16.35,21.5,21.8,22.2,19.9,28.6,31.3,40.5,39.8,43.0,71.7,93.8,98.0,61.6
1731,美吾華,17.8,16.5,15.1,12.4,31.05,21.2,23.5,21.0,18.1,17.8,18.25,16.6,16.3,17.1,15.25,16.1,13.9,21.6,79.2
1732,毛寶,15.3,15.4,21.4,17.7,17.85,16.6,23.9,19.15,18.8,17.6,17.9,19.0,20.9,15.6,15.8,13.05,12.7,42.2,24.95
1733,五鼎,54.0,47.0,28.9,47.2,115.5,79.0,68.0,79.1,75.8,86.9,84.5,70.7,58.4,54.7,41.7,35.35,38.8,30.75,52.3
1734,杏輝,20.0,21.0,26.25,22.7,51.7,35.0,34.0,42.25,35.9,34.4,57.2,58.3,42.2,32.1,26.0,25.4,21.55,68.5,26.9
1735,日勝化,37.5,27.4,19.5,17.5,18.6,20.2,19.5,23.5,17.4,13.0,13.9,13.9,13.1,16.1,19.55,19.55,18.2,17.9,47.0
1736,喬山,,81.0,159.0,245.0,290.0,79.5,56.3,56.3,74.3,96.0,109.0,104.0,88.8,56.0,47.0,42.3,102.5,102.0,20.45
1737,臺鹽,,53.0,39.5,25.6,36.2,29.95,23.7,28.6,34.35,26.0,32.5,30.95,33.0,36.4,32.15,32.45,35.9,33.5,101.0
1742,台蠟,,,24.7,41.0,57.5,54.2,51.9,62.2,55.0,22.8,22.55,41.3,29.0,16.0,13.6,27.05,25.2,25.4,35.85
1752,南光,,,,,,,,45.6,40.4,46.8,44.9,37.8,54.2,51.8,45.8,42.6,47.0,60.0,24.7
1760,寶齡富錦,,,,,,,,,,,,,,,,,120.0,181.0,42.8
1762,中化生,,,,,,,,,87.5,63.5,61.7,53.9,45.5,43.6,29.85,29.7,40.9,78.8,130.0
1773,勝一,,,,,,,,51.8,52.6,42.1,52.9,57.9,47.0,55.4,82.9,125.5,104.5,131.5,86.8
1776,展宇,,,,,,,,,,,,,,,23.4,22.75,17.6,19.0,165.0
1777,生泰,,,,34.3,58.0,42.3,56.0,73.0,66.0,54.0,65.9,89.0,94.5,111.5,103.0,82.6,85.8,95.4,29.9
1781,合世,,,141.0,34.2,59.8,33.95,22.6,45.0,33.0,51.8,64.5,40.9,38.6,25.8,21.0,18.3,11.9,52.6,122.0
1783,和康生,,,,,,,,,,,,65.9,41.9,27.3,26.75,42.4,29.65,35.1,30.0
1784,訊聯,,,,,,95.0,98.5,78.5,65.4,52.8,60.5,58.6,47.7,37.3,32.4,35.3,56.8,59.4,79.7
1785,光洋科,,,,126.5,367.0,187.0,93.5,89.0,76.9,45.35,37.85,30.4,28.0,23.45,23.2,26.4,24.45,54.8,51.9
1786,科妍,,,,,,,,,,,,125.5,99.5,67.5,58.7,102.0,79.3,76.6,62.4
1788,杏昌,,,,,,,,149.0,127.0,92.0,99.8,116.5,113.0,113.0,100.0,110.0,111.5,125.0,62.5
1789,神隆,,,,,,,,,,72.0,101.5,90.4,62.7,56.4,47.0,36.95,29.8,40.5,142.5
1795,美時,,,,,,,,,60.4,39.4,96.6,187.0,109.0,73.0,69.2,95.5,137.5,120.5,30.15
1796,金穎生技,,,,,,,,,,,,,,,,,50.0,33.9,157.5
1799,易威,,,,,,,37.4,29.5,23.0,17.9,26.8,56.1,42.8,36.9,29.6,24.2,14.15,34.2,42.2
1802,台玻,28.6,33.0,31.5,30.4,46.3,41.55,27.7,38.5,53.7,37.3,35.2,33.5,24.6,16.05,22.9,23.6,14.15,21.45,24.8
1805,寶徠,3.61,2.52,,21.65,17.4,10.2,8.5,13.4,19.45,19.8,18.3,16.6,10.8,7.78,15.35,15.45,12.9,11.1,47.9
1806,冠軍,11.0,14.15,9.7,18.9,21.4,19.45,22.3,33.85,25.9,16.95,14.4,13.15,10.0,7.65,9.09,9.69,7.59,8.29,18.2
1808,潤隆,7.65,17.1,24.3,93.9,50.6,41.0,24.6,35.6,35.5,47.6,36.8,32.4,37.8,39.6,50.2,66.7,70.1,77.5,17.5
1809,中釉,11.1,11.95,8.85,17.3,21.15,14.1,22.9,34.3,28.4,19.75,18.1,19.4,15.15,13.85,14.85,16.5,16.9,13.8,63.1
1810,和成,11.8,16.1,11.5,16.0,21.25,17.6,12.0,13.4,12.7,10.9,12.1,12.1,10.95,9.54,10.55,10.25,8.53,10.45,20.6
1813,寶利徠,,,,,,,,57.8,55.5,48.8,54.4,42.55,33.9,31.0,25.0,23.9,32.15,28.3,17.45
1815,富喬,,,,,40.9,25.6,19.05,43.3,34.7,26.65,14.6,14.45,16.1,15.35,24.2,25.7,17.8,15.75,20.0
1817,凱撒衛,,,,,,,,,,,,42.1,44.5,47.75,46.7,47.9,40.45,35.7,22.8
1903,士紙,30.9,34.7,28.2,62.0,58.8,56.5,95.2,83.9,80.5,58.3,52.9,50.2,39.7,35.5,39.2,37.8,36.55,94.2,42.05
1904,正隆,14.4,16.3,13.3,14.2,16.4,13.55,13.65,14.45,14.9,12.5,14.8,14.65,13.7,13.3,21.45,25.7,21.55,36.0,78.8
1905,華紙,21.6,26.6,17.0,19.1,27.15,27.0,16.9,18.15,17.15,12.7,10.65,9.75,11.3,10.25,12.85,12.6,11.25,13.35,51.5
1906,寶隆,8.0,9.2,6.15,8.5,11.65,8.74,8.18,10.95,9.19,8.4,10.45,14.45,11.8,17.95,39.85,32.0,18.15,19.0,33.6
1907,永豐餘,16.7,21.3,17.7,15.4,18.1,16.65,14.8,16.45,15.4,14.65,16.55,15.3,13.8,11.0,14.4,14.7,14.0,30.7,25.1
1909,榮成,9.35,13.9,11.3,17.65,18.2,14.4,13.0,13.65,13.65,10.05,15.3,16.95,14.5,17.15,52.4,42.45,21.6,25.05,51.8
2002,中鋼,29.2,37.4,37.55,34.95,52.0,54.4,34.5,35.8,35.8,30.9,28.4,27.0,26.75,25.9,26.4,25.55,25.5,25.6,33.6
2006,東和鋼鐵,16.5,33.8,27.2,33.1,58.8,64.4,38.2,38.75,36.5,31.6,30.65,27.35,24.3,22.4,26.3,27.9,23.75,40.6,46.75
2007,燁興,9.1,13.4,9.55,5.5,11.8,10.2,8.78,9.1,9.18,7.2,8.58,8.1,6.23,5.57,6.53,6.26,5.83,11.1,64.7
2008,高興昌,12.6,17.9,16.9,8.68,12.2,14.5,8.46,11.5,7.48,8.5,15.05,17.6,11.55,13.15,12.1,13.4,13.3,21.45,34.9
2009,第一銅,11.6,16.9,14.6,17.35,18.85,15.5,13.65,17.0,15.7,11.7,12.0,11.7,10.25,8.89,14.85,14.95,11.55,28.8,29.65
2010,春源,19.5,25.7,22.7,17.5,16.65,18.75,15.1,15.7,16.3,13.05,12.25,13.8,11.95,12.5,13.0,12.6,10.9,15.65,76.6
2012,春雨,10.85,19.0,12.6,12.5,13.8,14.0,13.3,13.0,11.3,11.8,12.45,15.55,16.8,15.3,15.3,22.3,25.2,22.6,37.55
2013,中鋼構,21.3,24.5,17.3,16.4,23.45,33.7,28.05,29.25,32.65,32.0,40.6,35.6,28.0,26.8,24.3,40.9,28.4,35.5,42.5
2014,中鴻,18.0,24.1,22.3,20.0,19.85,29.5,18.0,18.5,19.35,12.4,10.9,8.79,7.47,10.95,13.15,16.15,12.8,17.25,81.7
2015,豐興,30.6,49.6,44.5,40.5,58.9,106.0,61.5,61.3,59.8,52.9,57.9,54.6,42.0,48.0,58.0,66.5,65.0,76.7,64.7
2017,官田鋼,9.9,18.1,11.9,7.4,12.3,17.8,11.4,12.35,13.15,11.9,8.7,7.6,6.39,8.98,11.1,12.1,8.26,13.2,94.8
2020,美亞,21.8,33.4,26.2,30.3,49.0,36.6,29.4,28.45,26.2,15.95,14.4,16.7,15.55,15.6,15.25,16.8,16.9,20.15,36.8
2022,聚亨,11.25,16.9,10.9,9.0,8.95,14.9,7.0,9.5,10.3,7.28,6.97,7.49,6.22,5.0,7.12,9.41,7.06,8.85,44.25
2023,燁輝,41.3,35.9,23.9,17.0,18.0,18.6,14.75,14.35,12.3,12.45,10.5,10.35,9.8,13.3,15.1,12.8,10.3,14.8,27.6
2024,志聯,5.9,12.0,7.05,9.9,11.15,13.55,6.75,8.2,10.1,9.2,7.91,10.8,9.95,9.32,11.6,12.5,12.55,17.55,41.6
2025,千興,14.2,24.2,15.7,13.9,15.05,12.15,7.0,8.52,8.75,5.68,5.46,8.84,5.4,3.6,4.1,4.8,,4.2,33.85
2027,大成鋼,12.15,34.3,24.2,40.95,55.5,45.8,29.0,26.9,23.05,18.0,16.1,22.8,22.1,19.2,22.8,55.2,48.2,33.9,8.3
2028,威致,7.15,,9.4,8.77,10.35,24.3,11.8,12.55,11.05,7.12,6.25,6.24,4.23,4.2,10.4,12.6,10.45,26.8,63.7
2029,盛餘,58.5,49.6,45.4,32.45,40.3,33.2,27.8,25.2,23.0,21.0,23.4,24.75,22.25,40.7,45.6,29.75,20.8,25.6,67.8
2030,彰源,19.9,40.0,26.1,26.8,47.8,29.85,18.95,19.5,21.3,13.9,11.9,16.3,14.5,11.75,18.4,17.7,14.7,15.7,58.0
2031,新光鋼,42.0,67.5,50.5,29.2,35.5,55.8,35.9,38.6,38.8,26.3,23.8,20.7,19.3,24.15,34.1,52.5,34.6,43.6,52.8
2032,新鋼,28.8,38.8,22.9,32.5,42.8,27.0,21.3,25.9,22.8,14.5,13.15,14.45,11.7,12.0,11.7,12.25,9.9,16.4,94.6
2033,佳大,19.9,19.2,13.5,11.2,12.75,48.4,69.2,24.2,18.05,13.95,13.9,13.1,10.65,9.99,10.0,19.6,10.95,15.4,46.5
2034,允強,31.0,52.0,35.8,45.0,61.0,39.5,32.5,30.8,27.85,20.2,23.75,32.1,26.15,30.0,29.85,28.0,27.65,29.4,31.4
2035,唐榮,,,,,52.3,47.7,41.3,39.3,30.9,34.9,32.1,47.7,57.0,48.4,51.2,46.5,45.95,42.8,47.3
2038,海光,,,,,,,26.5,23.4,19.75,15.3,12.25,11.15,8.45,7.44,9.04,16.2,8.39,24.45,50.9
2049,上銀,,,,,,,,163.5,400.0,342.0,263.0,378.0,274.5,179.0,344.0,530.0,304.0,396.5,69.3
2059,川湖,,,,223.0,257.0,204.0,197.5,201.5,161.5,188.5,351.5,487.0,516.0,442.0,477.0,465.0,392.0,374.5,468.0
2061,風青,,,,,,,,,31.8,34.05,25.4,31.85,21.3,12.65,12.45,13.75,15.9,15.25,490.0
2062,橋椿,,,,,,47.1,35.2,44.0,46.2,35.15,91.5,94.6,68.6,46.8,48.5,39.3,36.55,29.35,36.5
2063,世鎧,,,,,,,,,89.2,44.5,30.85,39.7,30.7,31.9,40.8,40.8,41.7,40.0,39.8
2064,晉椿,,,,,,,,,,,,,26.5,18.2,22.2,19.6,16.0,15.85,39.45
2065,世豐,,,,,,,,,,,,,,,,30.5,44.45,59.9,26.0
2066,世德,,,,,,,,,,,,168.0,140.5,129.5,114.0,96.8,91.5,70.9,63.0
2067,嘉鋼,,,,,,,,,,,,,27.25,19.2,14.45,20.0,15.5,12.05,65.0
2069,運錩,,,,,,,,,,,,,,,31.75,26.2,28.8,19.6,16.75
2070,精湛,,,,,,,,,,,,,,,,,41.9,35.6,48.8
2101,南港,29.0,44.0,43.5,73.5,68.9,61.0,43.4,51.5,62.4,50.8,39.4,39.3,34.0,34.55,32.4,28.4,59.4,53.1,42.0
2102,泰豐,33.4,35.7,22.4,28.55,28.4,27.2,29.0,29.7,24.45,24.65,24.75,24.4,19.3,15.95,18.6,14.3,14.9,24.5,45.7
2103,台橡,15.1,17.3,18.6,24.9,58.1,57.3,42.8,72.2,91.0,81.7,62.8,47.0,40.3,35.3,39.5,37.95,29.6,24.3,35.35
2104,國際中橡,15.3,14.1,13.0,43.0,54.5,47.0,38.0,35.5,33.35,34.1,33.4,33.85,33.3,29.85,48.3,52.8,45.4,32.2,40.4
2105,正新,50.5,55.0,40.8,37.55,75.4,64.0,76.5,84.6,90.8,81.8,103.0,91.0,78.1,72.9,67.1,53.2,48.8,45.75,44.3
2106,建大,41.5,37.8,26.3,22.5,40.3,29.9,49.7,39.2,45.5,39.25,80.7,76.8,66.8,58.4,51.0,38.2,33.4,38.15,59.1
2107,厚生,11.65,19.1,16.8,24.95,27.4,26.6,29.95,34.4,34.4,22.5,29.25,34.0,33.25,18.95,18.5,16.55,20.45,26.0,51.5
2108,南帝,17.2,14.8,14.85,21.95,40.6,38.45,26.4,24.5,36.9,27.85,23.8,20.15,31.2,28.9,26.25,33.25,37.7,79.5,29.55
2109,華豐,20.6,18.1,11.2,9.21,13.1,12.95,18.65,18.3,11.3,8.34,20.4,25.3,21.8,13.6,14.0,17.2,14.0,15.9,176.0
2114,鑫永銓,,,,,53.1,44.9,35.5,37.45,75.8,90.9,92.1,129.5,131.0,84.5,91.5,96.5,89.8,92.7,25.9
2115,六暉-KY,,,,,,,,,,,,75.5,64.1,67.2,66.3,48.65,48.0,47.95,163.0
2201,裕隆,48.0,52.5,41.95,42.75,45.5,48.95,42.6,65.2,78.7,64.2,57.4,56.3,46.7,31.75,29.45,24.55,24.95,50.9,55.3
2204,中華,75.5,74.5,41.7,40.2,34.2,29.75,26.4,31.6,37.15,34.9,30.0,31.35,27.9,27.5,29.75,29.45,45.7,53.7,67.5
2206,三陽工業,9.4,15.8,15.6,25.1,29.6,24.0,16.2,19.15,22.0,22.1,55.3,63.0,28.75,23.9,23.2,23.65,23.5,40.75,77.5
2207,和泰車,40.4,65.5,93.7,84.3,94.0,102.5,85.7,96.2,173.5,261.0,415.0,513.0,542.0,385.5,403.5,388.0,719.0,767.0,38.95
2208,台船,,,,,,,41.8,32.65,30.35,25.3,20.2,20.5,16.9,16.6,16.05,42.9,30.6,32.85,669.0
2211,長榮鋼,,,,,,,,,,,,,,,,,,,33.8
2221,大甲,,,,,,28.0,13.8,18.35,37.0,26.0,17.9,29.2,23.5,23.3,33.15,45.8,37.7,32.6,
2227,裕日車,,,138.0,125.0,98.5,59.4,82.6,171.5,158.0,277.5,449.0,440.0,345.5,279.0,332.0,276.0,293.0,289.5,49.5
2228,劍麟,,,,,,,,,,,,156.0,198.0,262.0,192.0,118.5,154.0,120.0,285.5
2230,泰茂,,,,,,,,,,,,26.5,20.9,18.9,16.05,13.6,17.9,17.4,87.8
2231,為升,,,,,,,,109.5,93.3,72.5,141.0,424.0,438.0,428.0,397.0,464.0,333.0,257.0,20.2
2233,宇隆,,,,,,,,,,104.5,145.0,168.0,117.0,99.5,128.5,118.5,83.5,88.1,268.0
2235,謚源,,,,,,,,,,,,,147.5,143.0,132.5,93.7,83.4,59.8,143.0
2236,百達-KY,,,,,,,,,,,,,,75.2,76.9,60.1,34.95,23.75,48.3
2239,英利-KY,,,,,,,,,,,,,,,198.5,183.0,135.0,111.5,32.8
2241,艾姆勒,,,,,,,,,,,,,,,,,,,125.5
2243,宏旭-KY,,,,,,,,,,,,,,,,45.85,23.25,18.9,79.0
2247,汎德永業,,,,,,,,,,,,,,,,,,,24.95
2250,IKKA-KY,,,,,,,,,,,,,,,,,,,254.0
2301,光寶科,47.1,41.8,46.2,56.8,62.8,56.8,48.9,49.5,41.7,40.25,54.1,55.5,42.9,50.6,55.0,44.3,51.5,53.7,
2302,麗正,7.4,12.95,6.58,8.19,8.65,5.38,7.19,9.89,8.33,5.8,5.12,9.43,9.43,7.38,7.15,12.3,11.5,28.75,67.9
2303,聯電,32.8,35.2,25.25,22.9,24.7,20.3,17.2,19.1,18.3,15.75,15.4,16.7,16.1,13.55,16.8,18.65,17.05,51.7,26.3
2305,全友,17.1,13.15,6.6,6.45,8.5,5.75,5.43,6.82,5.39,4.19,4.19,11.45,11.35,11.15,10.8,12.05,7.2,10.5,72.0
2308,台達電,49.9,56.0,70.7,109.0,135.0,110.0,103.5,143.5,143.0,114.5,171.5,225.0,214.0,177.0,179.5,151.0,167.5,271.0,41.3
2312,金寶,23.1,21.6,16.8,15.2,15.7,12.15,9.78,12.6,11.55,8.89,14.6,15.95,15.8,12.85,13.1,11.25,13.95,14.9,335.0
2313,華通,23.5,21.9,19.6,19.35,19.75,12.6,11.75,20.9,21.0,15.7,18.2,21.75,24.5,22.2,52.2,42.4,52.5,54.7,19.0
2314,台揚,18.4,23.7,15.7,16.15,32.0,21.95,18.2,22.45,19.25,15.4,21.9,20.55,15.4,29.0,41.9,33.9,31.05,35.5,47.9
2316,楠梓電,23.4,24.6,15.9,16.45,17.2,10.2,12.5,22.55,22.75,14.9,13.95,17.95,31.8,33.15,23.0,19.7,49.0,36.35,96.5
2317,鴻海,168.0,157.0,187.5,243.0,300.0,202.0,152.5,155.5,126.5,117.0,89.9,113.0,99.7,90.1,122.5,97.4,97.2,100.0,122.5
2321,東訊,17.0,20.3,17.25,16.1,34.4,24.35,18.6,15.0,10.0,4.0,3.92,4.3,3.1,3.38,4.32,4.19,3.6,13.8,134.5
2323,中環,29.3,32.7,17.3,12.2,19.9,11.95,9.2,10.05,8.24,6.15,6.32,5.3,4.66,4.1,4.89,14.15,12.35,10.2,14.5
2324,仁寶,61.0,48.7,36.05,38.15,43.2,37.8,44.95,49.3,38.95,35.8,23.9,30.0,29.3,21.65,22.9,22.15,20.65,21.0,36.9
2327,國巨,18.8,24.0,14.8,15.65,16.5,11.55,12.05,16.1,15.9,10.65,11.2,51.7,67.3,70.8,355.0,1310.0,445.0,526.0,27.95
2328,廣宇,27.3,33.4,56.5,105.5,156.5,71.7,59.7,60.6,46.9,33.0,29.2,24.4,19.9,32.55,32.65,26.85,28.6,28.2,644.0
2329,華泰,8.5,11.1,6.23,8.59,17.3,9.15,12.7,12.7,9.2,5.9,6.5,15.1,16.55,14.8,11.8,12.9,19.45,16.1,50.3
2330,台積電,72.5,68.5,64.3,70.0,73.1,69.8,65.2,75.0,78.3,99.9,116.5,142.0,155.0,193.0,245.0,268.0,345.0,540.0,43.4
2331,精英,70.0,36.7,27.25,25.6,27.35,16.2,15.9,15.9,12.45,13.0,18.0,28.4,33.35,23.0,25.8,20.55,14.4,27.9,679.0
2332,友訊,46.2,47.0,42.1,44.25,88.0,57.8,35.0,37.55,31.95,24.45,19.2,23.7,19.15,12.8,15.4,16.0,15.45,30.8,36.2
2337,旺宏,13.15,16.8,7.3,15.05,24.95,17.45,19.65,23.1,23.75,13.7,9.35,8.74,7.88,4.84,60.9,55.5,39.1,46.9,30.65
2338,光罩,21.5,20.9,17.1,25.25,22.5,18.6,14.3,14.35,13.55,11.65,11.15,11.7,10.3,10.1,20.55,37.65,38.4,47.8,50.0
2340,光磊,14.9,14.2,13.2,20.8,45.45,34.95,30.6,31.6,22.7,15.85,13.5,17.55,14.65,15.0,26.5,36.5,27.8,28.95,114.0
2342,茂矽,6.65,10.5,14.75,37.65,63.5,31.5,19.3,19.0,16.2,8.97,8.58,10.9,7.99,3.59,27.2,59.0,25.6,42.6,66.2
2344,華邦電,21.9,22.6,13.35,13.6,14.2,9.79,9.78,9.99,11.15,6.96,10.1,12.75,11.4,10.55,30.35,25.25,20.3,31.15,55.6
2345,智邦,42.9,31.2,20.1,23.25,25.15,17.6,16.05,23.85,21.6,19.3,19.2,20.8,33.55,57.9,113.0,123.5,195.0,324.0,38.9
2347,聯強,58.5,65.0,50.7,44.95,114.5,92.9,70.3,82.6,79.0,79.5,63.3,56.2,46.75,39.0,41.35,48.25,39.55,47.7,354.0
2348,海悅,16.8,17.1,6.1,44.2,44.0,19.1,3.64,5.4,7.47,28.65,66.0,61.9,41.8,39.1,43.9,63.0,57.4,101.0,62.3
2349,錸德,28.4,25.9,14.2,11.85,12.4,8.95,10.1,9.92,9.47,6.11,6.7,5.8,4.13,6.6,6.63,19.65,12.35,12.3,119.5
2351,順德,18.1,19.2,14.9,59.3,62.9,34.65,48.0,59.2,43.7,30.8,43.0,50.9,47.5,45.6,98.8,101.0,82.9,104.5,14.1
2352,佳世達,52.5,53.5,37.2,35.7,46.4,35.75,21.2,22.45,22.25,9.25,8.35,16.7,15.85,15.9,25.85,23.3,23.25,30.2,200.0
2353,宏碁,57.0,55.5,85.5,85.0,78.6,70.3,99.5,105.5,91.0,46.15,28.2,25.7,22.15,16.2,24.9,33.75,22.25,26.7,38.75
2354,鴻準,60.0,76.5,169.0,406.0,440.5,268.5,125.0,144.0,154.0,144.5,92.3,92.7,121.5,96.9,102.0,88.7,75.1,67.0,35.85
2355,敬鵬,29.8,29.0,23.1,25.5,36.6,28.5,30.35,30.0,26.25,38.75,60.2,59.9,63.5,77.3,65.0,59.6,43.8,34.85,79.6
2356,英業達,25.3,24.4,23.45,29.2,29.6,20.3,21.2,20.6,17.45,14.65,29.45,32.35,24.7,26.85,27.1,28.15,25.55,28.4,40.45
2357,華碩,119.0,90.5,105.0,110.0,116.0,101.0,66.5,289.5,311.0,342.0,382.0,358.0,359.0,291.5,308.0,284.0,243.0,265.0,62.0
2358,廷鑫,15.5,29.5,14.15,14.0,17.6,8.79,26.5,19.9,15.6,14.8,12.8,23.45,15.75,17.9,29.0,31.45,18.8,17.5,428.0
2359,所羅門,15.9,16.0,6.9,13.65,31.6,27.9,17.0,16.25,14.8,13.3,13.95,23.85,21.35,18.2,25.45,28.55,24.4,22.85,29.85
2360,致茂,24.3,38.6,33.6,40.2,85.5,77.0,79.0,94.0,101.0,78.3,73.7,92.0,84.5,90.8,188.0,197.0,163.5,186.5,21.2
2362,藍天,16.3,20.1,13.2,33.0,63.1,60.0,53.8,76.5,69.0,53.5,68.9,68.9,49.65,33.9,33.55,36.65,41.95,37.05,230.0
2363,矽統,32.6,27.7,27.8,23.2,22.4,11.8,28.25,25.75,21.7,14.25,11.85,11.95,9.49,7.78,10.15,15.0,9.63,21.3,35.7
2364,倫飛,8.65,9.25,7.4,6.28,9.0,5.55,6.88,7.49,5.38,4.42,3.89,7.48,5.75,3.43,3.09,4.67,4.96,6.18,31.8
2365,昆盈,41.0,40.0,29.3,37.8,72.4,52.2,36.0,35.3,26.4,14.15,13.85,16.5,12.2,10.2,11.25,13.4,9.57,12.7,31.2
2367,燿華,21.2,24.7,15.5,19.1,39.8,30.65,14.6,23.55,21.0,15.7,14.3,14.8,15.95,13.15,27.15,26.4,39.15,34.45,16.3
2368,金像電,16.7,18.5,18.9,24.85,34.5,29.05,14.0,15.0,14.5,9.65,7.98,19.2,23.2,13.1,12.4,17.2,17.45,60.7,24.75
2369,菱生,18.5,26.8,14.9,13.7,19.8,15.5,16.2,25.9,27.85,21.65,18.1,22.25,15.9,12.65,18.2,16.15,11.15,15.1,83.6
2371,大同,9.8,15.1,13.1,17.0,19.5,23.1,9.91,8.62,16.8,10.3,8.47,10.5,9.35,9.89,20.65,42.4,31.05,29.5,32.3
2373,震旦行,,25.4,20.45,21.0,38.4,32.3,37.4,71.0,62.2,54.8,68.2,65.0,55.4,57.4,95.4,119.0,99.3,94.8,39.9
2374,佳能,38.4,34.9,33.25,36.15,71.0,55.1,65.2,67.1,51.3,31.65,28.6,22.8,26.5,23.35,27.4,23.55,18.05,16.75,94.7
2375,凱美,17.0,16.3,9.73,9.8,12.4,7.72,5.44,10.4,10.1,5.98,13.8,15.8,19.8,19.1,45.3,95.5,52.8,98.6,25.45
2376,技嘉,93.0,65.5,40.0,31.2,33.2,32.0,31.65,35.8,33.5,28.95,39.3,52.3,40.65,47.35,56.8,90.0,56.3,94.7,146.5
2377,微星,89.5,61.0,28.4,27.3,37.5,29.2,26.55,23.0,18.45,16.4,25.0,52.0,48.8,90.9,82.0,131.0,94.7,158.0,148.0
2379,瑞昱,99.0,66.5,41.6,59.6,212.0,116.5,96.6,100.5,71.2,67.0,90.9,121.5,108.0,133.0,124.5,151.0,251.5,432.0,203.0
2380,虹光,31.6,32.5,33.1,31.5,25.5,19.5,16.85,25.25,25.7,14.55,12.6,12.7,10.2,8.0,7.9,7.7,4.47,10.2,621.0
2382,廣達,96.0,90.0,64.1,61.9,59.9,53.1,75.3,72.3,73.0,86.4,71.0,91.0,82.5,69.0,80.0,65.2,64.9,85.0,57.5
2383,台光電,10.75,14.2,15.3,20.6,19.8,16.3,26.8,37.85,34.2,31.7,30.8,42.1,77.4,92.1,167.5,115.5,142.0,183.5,102.0
2385,群光,70.0,82.0,36.4,51.6,81.6,69.2,82.3,90.9,67.0,71.2,87.2,100.0,90.8,82.8,83.1,77.5,100.5,95.2,293.5
